game,subject_mark,winner,subject_result,reason,attempts,moves,subject_decisions,subject_legal,subject_illegal,subject_optimal_legal,opponent_decisions,opponent_legal,opponent_illegal,opponent_optimal_legal
172,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
173,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
174,O,DRAW,D,normal,11,9,6,4,2,2,5,5,0,3
175,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
176,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
177,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
178,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
179,X,O,L,normal,8,8,4,4,0,2,4,4,0,3
180,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
181,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
182,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
183,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
184,O,DRAW,D,normal,9,9,4,4,0,4,5,5,0,5
185,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
186,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
187,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
188,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
189,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,2
190,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
191,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
192,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
193,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
194,O,O,W,normal,8,8,4,4,0,2,4,4,0,2
195,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,2
196,O,X,L,normal,11,9,6,4,2,2,5,5,0,4
197,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
198,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
199,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
200,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
201,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
202,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
203,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
204,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
205,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
206,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
207,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
208,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
209,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
210,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
211,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
212,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
213,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
214,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
215,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
216,O,DRAW,D,normal,9,9,4,4,0,4,5,5,0,5
217,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
218,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
219,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
220,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
221,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
222,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
223,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
224,O,DRAW,D,normal,9,9,4,4,0,4,5,5,0,5
225,X,O,L,normal,6,6,3,3,0,2,3,3,0,2
226,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
227,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
228,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
229,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
230,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
231,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
232,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
233,X,X,W,normal,9,9,5,5,0,2,4,4,0,0
234,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
235,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
236,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
237,X,DRAW,D,normal,9,9,5,5,0,2,4,4,0,1
238,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
239,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
240,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
241,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
242,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
243,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
244,O,X,L,normal,8,7,4,3,1,2,4,4,0,4
245,X,O,L,normal,6,6,3,3,0,2,3,3,0,3
246,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
247,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
248,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,4
249,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
250,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
251,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
252,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
253,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
254,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
255,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
256,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
257,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
258,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,4
259,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
260,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
261,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
262,O,O,W,normal,6,6,3,3,0,2,3,3,0,2
263,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
264,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
265,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
266,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
267,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
268,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
269,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
270,O,O,W,normal,9,8,5,4,1,2,4,4,0,2
271,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
272,O,O,W,normal,6,6,3,3,0,2,3,3,0,2
273,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
274,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
275,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
276,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
277,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
278,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
279,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
280,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
281,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
282,O,O,W,normal,8,8,4,4,0,3,4,4,0,3
283,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
284,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
285,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
286,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
287,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
288,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
289,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
290,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
291,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
292,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
293,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
294,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
295,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
296,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
297,X,O,L,normal,8,8,4,4,0,2,4,4,0,2
298,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
299,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
300,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
301,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
302,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
303,X,O,L,normal,8,8,4,4,0,1,4,4,0,2
304,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
305,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
306,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
307,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
308,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
309,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
310,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
311,X,DRAW,D,normal,9,9,5,5,0,3,4,4,0,2
312,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
313,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
314,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
315,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,2
316,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
317,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
318,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
319,X,O,L,normal,8,8,4,4,0,1,4,4,0,1
320,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
321,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
322,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
323,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
324,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
325,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
326,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
327,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
328,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
329,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
330,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
331,X,O,L,normal,8,8,4,4,0,1,4,4,0,2
332,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
333,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
334,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
335,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
336,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
337,X,DRAW,D,normal,9,9,5,5,0,2,4,4,0,1
338,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
339,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
340,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
341,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
342,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
343,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
344,O,O,W,normal,8,6,5,3,2,3,3,3,0,2
345,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
346,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
347,X,O,L,normal,8,8,4,4,0,2,4,4,0,3
348,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
349,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
350,O,X,L,normal,10,9,5,4,1,3,5,5,0,5
351,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
352,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
353,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
354,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
355,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
356,O,X,L,normal,5,5,2,2,0,1,3,3,0,3
357,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
358,O,X,L,normal,7,7,3,3,0,1,4,4,0,3
359,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
360,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
361,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
362,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
363,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
364,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
365,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
366,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
367,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
368,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
369,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
370,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
371,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
372,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
373,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
374,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
375,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
376,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
377,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
378,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
379,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
380,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
381,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
382,O,DRAW,D,normal,9,9,4,4,0,2,5,5,0,3
383,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
384,O,X,L,normal,9,9,4,4,0,2,5,5,0,3
385,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
386,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
387,X,X,W,normal,9,9,5,5,0,3,4,4,0,1
388,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
389,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
390,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
391,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
392,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
393,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
394,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
395,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
396,O,X,L,normal,9,9,4,4,0,3,5,5,0,4
397,X,X,W,normal,7,7,4,4,0,3,3,3,0,2
398,O,X,L,normal,12,9,7,4,3,2,5,5,0,4
399,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
400,O,X,L,normal,7,7,3,3,0,2,4,4,0,3
401,X,O,L,normal,8,8,4,4,0,2,4,4,0,3
402,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
403,X,X,W,normal,9,9,5,5,0,5,4,4,0,3
404,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
405,X,X,W,normal,9,9,5,5,0,2,4,4,0,1
406,O,O,W,normal,8,8,4,4,0,3,4,4,0,2
407,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
408,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
409,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
410,O,DRAW,D,normal,9,9,4,4,0,4,5,5,0,5
411,X,O,L,normal,6,6,3,3,0,2,3,3,0,2
412,O,X,L,normal,7,7,3,3,0,2,4,4,0,4
413,X,O,L,normal,6,6,3,3,0,1,3,3,0,2
414,O,X,L,normal,9,9,4,4,0,2,5,5,0,4
415,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
416,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
417,X,O,L,normal,8,8,4,4,0,3,4,4,0,3
418,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
419,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
420,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
421,X,X,W,normal,5,5,3,3,0,3,2,2,0,1
422,O,O,W,normal,8,8,4,4,0,4,4,4,0,3
423,X,DRAW,D,normal,9,9,5,5,0,5,4,4,0,4
424,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
425,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
426,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
427,X,X,W,normal,7,7,4,4,0,3,3,3,0,1
428,O,O,W,normal,6,6,3,3,0,2,3,3,0,2
429,X,X,W,normal,9,9,5,5,0,4,4,4,0,2
430,O,X,L,normal,9,9,4,4,0,3,5,5,0,5
431,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
432,O,O,W,normal,6,6,3,3,0,3,3,3,0,2
433,X,DRAW,D,normal,9,9,5,5,0,4,4,4,0,3
434,O,X,L,normal,9,9,4,4,0,1,5,5,0,3
435,X,X,W,normal,7,7,4,4,0,4,3,3,0,2
436,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
437,X,DRAW,D,normal,9,9,5,5,0,5,4,4,0,4
438,O,DRAW,D,normal,9,9,4,4,0,3,5,5,0,4
